Personnel_ID,Day,Shift,Start,End
EMP_001,Saturday,1130-2230,11:30,22:30
EMP_001,Saturday,1130-2230,11:30,22:30
EMP_001,Saturday,1130-2230,11:30,22:30
EMP_001,Saturday,1130-2230,11:30,22:30
EMP_001,Saturday,1130-2230,11:30,22:30
EMP_001,Saturday,1130-2230,11:30,22:30
EMP_001,Saturday,1130-2230,11:30,22:30
EMP_001,Saturday,1130-2230,11:30,22:30
EMP_001,Saturday,1130-2230,11:30,22:30
EMP_051,Saturday,1130-2230,11:30,22:30
EMP_052,Saturday,1130-2230,11:30,22:30
EMP_053,Saturday,1130-2230,11:30,22:30
EMP_001,Saturday,2230-0800,22:30,08:00
EMP_001,Saturday,2230-0800,22:30,08:00
EMP_001,Saturday,2230-0800,22:30,08:00
EMP_001,Saturday,2230-0800,22:30,08:00
EMP_001,Saturday,2230-0800,22:30,08:00
EMP_001,Saturday,2230-0800,22:30,08:00
EMP_001,Saturday,2230-0800,22:30,08:00
EMP_054,Saturday,2230-0800,22:30,08:00
EMP_001,Sunday,0500-1430,05:00,14:30
EMP_001,Sunday,0630-1630,06:30,16:30
EMP_001,Sunday,0730-1830,07:30,18:30
EMP_001,Sunday,0730-1830,07:30,18:30
EMP_001,Sunday,0730-1830,07:30,18:30
EMP_001,Sunday,0730-1830,07:30,18:30
EMP_001,Sunday,0730-1830,07:30,18:30
EMP_001,Sunday,0730-1830,07:30,18:30
EMP_001,Sunday,0730-1830,07:30,18:30
EMP_001,Sunday,0730-1830,07:30,18:30
EMP_001,Sunday,0730-1830,07:30,18:30
EMP_001,Sunday,0730-1830,07:30,18:30
EMP_001,Sunday,0730-1830,07:30,18:30
EMP_001,Sunday,0730-1830,07:30,18:30
EMP_001,Sunday,0730-1830,07:30,18:30
EMP_001,Sunday,0830-1930,08:30,19:30
EMP_001,Sunday,0830-1930,08:30,19:30
EMP_001,Sunday,0830-1930,08:30,19:30
EMP_001,Sunday,0830-1930,08:30,19:30
EMP_001,Sunday,0830-1930,08:30,19:30
EMP_001,Sunday,0830-1930,08:30,19:30
EMP_001,Sunday,0830-1930,08:30,19:30
EMP_001,Sunday,0830-1930,08:30,19:30
EMP_001,Sunday,0930-2030,09:30,20:30
EMP_001,Sunday,0930-2030,09:30,20:30
EMP_001,Sunday,0930-2030,09:30,20:30
EMP_001,Sunday,0930-2030,09:30,20:30
EMP_001,Sunday,0930-2030,09:30,20:30
EMP_001,Sunday,1000-2100,10:00,21:00
EMP_001,Sunday,1000-2100,10:00,21:00
EMP_001,Sunday,1430-0130,14:30,01:30
EMP_001,Sunday,1430-0130,14:30,01:30
EMP_001,Sunday,1430-0130,14:30,01:30
EMP_001,Sunday,1430-0130,14:30,01:30
EMP_001,Sunday,1430-0130,14:30,01:30
EMP_001,Sunday,1430-0130,14:30,01:30
EMP_001,Sunday,1600-0130,16:00,01:30
